year,month,company,short,color,rev,cos,gp,sga,ebitda,np,budRev,budGP,budEBITDA,budNP,cash,inventory,currentAssets,currentLiabilities,totalAssets,totalLiabilities,equity,accountsReceivable,accountsPayable,Debt
2026,Feb,Al Raya Equipment,ARE,#ef4444,0,914,914,52100.94333,-51594.94333,-53014.94333,466612.7809,195316.8707,13984.17736,-4681.950453,24831.61,2716550.812,3315497.112,5747009.601,1445895.402,3941651.928,-2495756.526,560223,1028922.664,101052
2026,Feb,Aida Holding,AH,#a855f7,0,0,0,60035.70137,159937.0786,-60035.70137,0,0,-151947.9345,-151947.9345,253204.92,0,278075.41,1476180.865,61296613.25,10382584.86,50914028.39,0,529822.45,9782324.99
2026,Feb,Gulf Yachts,GY,#ec4899,742967,454744.432,288222.568,622429.4156,-259015.8476,-334206.8476,1150000,237800,-318400.1027,-727253.7367,165541.197,2453103.698,8568412.245,14398741.02,10066315.27,12582954.87,-2516639.6,5807088.78,250391.226,6150000
2026,Feb,GY Marine Services,GMC2,#06b6d4,688454.96,530499.95,157955.01,429971.81,-166597.14,-272016.8,1498427.313,395505.5676,58836.30897,-365903.7177,636016.33,6650821.89,9704022.48,14833670.08,13086503.56,15073176.97,-1986673.43,2092221.61,6018097.99,8608725
2026,Mar,Global Medical Co,GMC,#4f8ef7,4531192.49,3159526.23,1371666.26,1541783.588,371541.9225,-170117.3275,5932500,1791659.664,595973.96,145254.614,660330.29,6972415.09,13830582.41,23397095.81,37645862,25657398.6,11988495.99,5996899.79,4842828.9,16573798.21
2026,Mar,Aida Clinic,AC,#10b981,8466930.36,3947021.281,4519909.079,4001087.132,1395922.677,518821.947,8725000,4609113.125,1025143.759,748215.0701,775200.948,3388395.026,4366495.263,12622121.32,10719880.9,15026244.9,-4306364.008,79242.41,571588.611,7607204.281
2026,Mar,Gulf Avenues,GA,#f59e0b,37305,0,37305,35343.91159,2293.968412,1961.088412,92350,92350,46856.756,46292.3,198423.49,0,336469.77,1072615.79,-1060183.15,-308482.49,-751700.69,95484.87,0,0
2026,Mar,Al Raya Equipment,ARE,#ef4444,4450.168,1954.25,2495.918,80573.51,-75669.592,-78077.592,699919.1713,292975.306,17686.26603,-10312.92568,13746.36,2716550.812,3294562.03,5750170.168,1439260.32,3969908.678,-2530648.358,564673.168,1026894.914,101546
2026,Mar,Aida Holding,AH,#a855f7,0,0,0,49676.46156,266881.4184,-49676.46156,0,0,-233228.0129,-233228.0129,112181.42,0,287051.91,1615076.136,61128353.29,10059326.17,51069027.12,0,502780.17,9589218.54
2026,Mar,Gulf Yachts,GY,#ec4899,823367,517982.432,305384.568,891039.1483,-471194.4203,-585654.5803,1550000,328700,-499680.154,-1112960.605,94831.327,2453103.698,8290026.705,14317363.79,9780957.306,12602213.24,-2821255.93,5630472.78,256791.226,6110000
2026,Mar,GY Marine Services,GMC2,#06b6d4,1205637.65,741974.64,463663.01,647937.62,-29983.15,-184274.61,2247640.97,593258.3514,159204.4634,-477905.5766,449032.93,6533488.38,9710784.99,14741434.55,13082010.22,14980941.44,-1898931.24,2422185.38,6029056.04,8608725
2026,Apr,Global Medical Co,GMC,#4f8ef7,6593477.58,4743425.51,1850052.07,2064555.6,525859.21,-214503.53,7902250,2392057.597,807947.4913,206888.3633,322760.96,6239434.63,12627161.52,22048163.83,35895052.12,24303910.62,11591174.1,5891766.86,3913798.72,16211999.11
2026,Apr,Aida Clinic,AC,#10b981,12230716.36,6170146.286,6060570.074,5361464.875,1900924.459,699105.1988,11683333.33,6185883.558,1419988.307,1050750.055,880542.518,2939931.261,4020878.508,12431737.48,11333170.89,15639348.47,-4306177.583,88264.57,738958.371,7666060.871
2026,Apr,Gulf Avenues,GA,#f59e0b,49740,0,49740,48040.97218,2142.867819,1699.027819,123133.3333,123133.3333,61255.67467,60503.06667,255319.73,0,383077.11,1167632.54,-1010198.61,-209965.74,-800232.9,73255.97,0,0
2026,Apr,Al Raya Equipment,ARE,#ef4444,16650.168,6763.514,9886.654,116239.3067,-102069.5127,-106352.6527,933225.5618,390633.7414,25168.35471,-12163.90091,356229.7,2711741.548,3291891.536,5773657.835,1435408.926,4004161.528,-2568752.602,287821.168,990349.014,102100
2026,Apr,Aida Holding,AH,#a855f7,0,0,0,67461.58689,353928.9034,-67461.58689,0,0,-309994.0246,-309994.0246,90531.103,0,297109.93,1700794.446,60995943.9,9937606.475,51058337.42,0,448913.17,9640934.845
2026,Apr,Gulf Yachts,GY,#ec4899,1159714.5,790064.265,369650.235,1289661.259,-630260.9141,-920011.0241,10108500,1622960,527814.7947,-289892.4733,271725.758,2252470.865,8551843.973,14868034.2,9829654.324,13038435.3,-3208780.971,5667319.28,544160.225,5927616.95
2026,Apr,GY Marine Services,GMC2,#06b6d4,2581049.41,1307528.6,1273520.81,1209108.034,625915.6959,64412.77594,3525497.064,962437.738,461849.2207,-387630.8326,541987.04,6002524.25,9906576.28,15034303.68,13623566.13,15081328.63,-1457761.91,3082386.13,5880187.48,8790084
2026,May,Global Medical Co,GMC,#4f8ef7,8432407.59,6094608.09,2337799.5,2509704.353,765059.0475,-171904.8525,9767750,2966100.518,995628.5109,244229.6009,1862666.02,7249626.23,15378422.88,24972443.12,38531122.42,27250227.91,11280927.09,6107513.73,5084039.6,17971975.46
2026,May,Aida Clinic,AC,#10b981,15271142.45,7412124.498,7859017.952,6816753.391,2444400.011,1042264.561,14641666.67,7762653.991,1805546.188,1343998.373,558213.798,3675375.495,4426706.486,12445762.84,12139621.23,15694335.27,-3554714.045,88777.034,674842.911,7516060.871
2026,May,Gulf Avenues,GA,#f59e0b,62175,0,62175,60492.40695,2130.133055,1682.593055,153916.6667,153916.6667,76874.59333,75933.83333,236081.52,0,424825.5,1119234.74,-971113.08,-261277.54,-709835.57,119094.24,0,0
2026,May,Al Raya Equipment,ARE,#ef4444,144250.168,36838.095,107412.073,131443.9443,-19550.55133,-24031.87133,1166531.952,488292.1767,33870.44339,-12794.87613,100835.91,2713060.957,3145327.155,5543500.602,1302839.475,3799100.479,-2496261.004,409631.168,989948.214,102100
2026,May,Aida Holding,AH,#a855f7,0,0,0,111044.3819,409807.5381,-111044.3819,0,0,-386815.5918,-386815.5918,89557.103,0,296135.93,1800691.406,60815993.01,9798897.77,51017095.24,0,366612.4,9690665.56
2026,May,Gulf Yachts,GY,#ec4899,2150164.5,1429034.083,721130.417,1645204.312,-560124.1279,-924073.8949,10817000,1763220,413749.7433,-608384.3417,1120716.238,1655141.207,8716599.815,14979117.72,9786875.916,13052888.36,-3266012.439,5582657.63,449447.225,6096049
2026,May,GY Marine Services,GMC2,#06b6d4,2963693.78,1491588.2,1472105.58,1410135.651,758107.3091,61969.92907,4803353.159,1331617.125,767993.9779,-293856.0887,330354.9,6054479.47,10149167.82,15260239.23,13847059.45,15339579.86,-1492520.44,3513054.03,6072627.19,8835664
2026,Jun,Global Medical Co,GMC,#4f8ef7,10079536.13,7358067.22,2721468.91,3125677.165,736298.565,-404208.255,11033250,3315177.544,964543.6352,62704.94318,1141578.6,6808766.76,14142147.37,24388446.73,37357664.93,26661919.52,10695778,6041774.02,5065835.34,17436429.79
2026,Jun,Aida Clinic,AC,#10b981,18884970.48,8818102.998,10066867.48,8138568.972,3150672.43,1928298.51,17550000,9299025.033,2145260.774,1591403.396,760346.922,4093451.957,5095888.254,12799431.96,13365123.73,15815013.8,-2449890.077,102977.042,714386.591,7403707.871
2026,Jun,Gulf Avenues,GA,#f59e0b,74610,0,74610,74227.52673,940.9732691,382.4732691,184700,184700,92493.512,91364.6,262522.68,0,365282.04,1068450.1,-1030767.5,-311774.18,-718993.35,21169.62,0,0
2026,Jun,Al Raya Equipment,ARE,#ef4444,184900.168,60556.595,124343.573,244610.616,-113658.685,-120267.043,1399838.343,585950.6121,41352.53207,-14645.85136,134659.44,2714080.957,3244613.505,5737963.648,1361403.349,3963728.708,-2602325.359,434581.168,992388.214,138254
2026,Jun,Aida Holding,AH,#a855f7,0,0,0,603783.8746,17759.68642,-603783.8746,0,0,-463737.1591,-463737.1591,46673.763,0,222669.256,1642560.956,60250267.43,10341050.4,49909217.03,0,336008.25,9389775.941
2026,Jun,Gulf Yachts,GY,#ec4899,2436939.5,1648737.907,788201.593,2279872.485,-1056916.715,-1491670.892,11425500,1887480,286464.692,-940096.21,225624.918,1594405.343,7930395.061,14902098.58,8778609.782,12665387.82,-3886778.033,5425006.28,375623.945,6648056
2026,Jun,GY Marine Services,GMC2,#06b6d4,3504677.95,2119353.19,1385324.76,1560485.03,648961.35,-175160.27,6081209.253,1700796.511,1048038.735,-226181.3448,446181.61,4601608.76,8955540.38,14182822.85,12534111.41,14687928.28,-2153816.9,3699445.03,6012234.88,9178285
